Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Tag 1,Product Tag 2,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price VND,Variant Option 1 Name,Variant Option 1 Value,Product Tag 3
prod_01KNSKJMTJQ8P4FSX0NFEVJQM4,sample,Sample,sample,draft,,1 sample cho 1 đơn,false,true,,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSBEC6Q1MD78ZX841694Q0V,,,,,,,,,Fri Apr 10 2026 00:10:29 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:54:38 GMT+0700 (Indochina Time),,SaleSậpSàn,ĂnVặt,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KNSKJP44AJMB9MAYDSPJ4K09,Default variant,SAMPLE_01,,,,true,true,,,,,,,,,,0,,prod_01KNSKJMTJQ8P4FSX0NFEVJQM4,Fri Apr 10 2026 00:10:31 GMT+0700 (Indochina Time),Fri Apr 10 2026 00:10:31 GMT+0700 (Indochina Time),,21000,Variant,default,
prod_01KNSKJMTJQ8P4FSX0NFEVJQM4,sample,Sample,sample,draft,,1 sample cho 1 đơn,false,true,,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSBEC6Q1MD78ZX841694Q0V,,,,,,,,,Fri Apr 10 2026 00:10:29 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:54:38 GMT+0700 (Indochina Time),,SaleSậpSàn,ĂnVặt,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KNSN9K16NT135NND2VJWDD5S,Combo 2 sample,COM_SAMPLE_02,,,,false,true,,,,,,,,,,0,,prod_01KNSKJMTJQ8P4FSX0NFEVJQM4,Fri Apr 10 2026 00:40:30 GMT+0700 (Indochina Time),Fri Apr 10 2026 00:40:30 GMT+0700 (Indochina Time),,36000,Variant,combo2,
prod_01KPFCJZTG0M3888NMT5CKYZC7,mi-handy-hao-hao-tom-chua-cay,Mì Handy Hảo Hảo Tôm Chua Cay,Acecook,published,,"Tên sản phẩm: Mì Handy Hảo Hảo Tôm Chua Cay

Thương hiệu: Acecook

Danh mục: Mì ly

Giới thiệu:

- Thiết kế dạng ly tiện dụng, phù hợp cho người bận rộn.

- Giữ nguyên hương vị tôm chua cay truyền thống của Hảo Hảo.

- Đi kèm rau củ sấy khô phong phú bên trong.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/mi-handy-hao-hao-tom-chua-cay.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSBDZ9XRM34GKM7ZNS0Q660,67,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPFCK0SVG3BB960ZNV3DTWS8,Ly,ACE-HDHH-TCC,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTG0M3888NMT5CKYZC7,Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),,12400,Ly,1,Spicy
prod_01KPFCJZTG0M3888NMT5CKYZC7,mi-handy-hao-hao-tom-chua-cay,Mì Handy Hảo Hảo Tôm Chua Cay,Acecook,published,,"Tên sản phẩm: Mì Handy Hảo Hảo Tôm Chua Cay

Thương hiệu: Acecook

Danh mục: Mì ly

Giới thiệu:

- Thiết kế dạng ly tiện dụng, phù hợp cho người bận rộn.

- Giữ nguyên hương vị tôm chua cay truyền thống của Hảo Hảo.

- Đi kèm rau củ sấy khô phong phú bên trong.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/mi-handy-hao-hao-tom-chua-cay.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSBDZ9XRM34GKM7ZNS0Q660,67,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPK723AG9JTQF06ZA319Y4J8,Combo 5 ly,ACE-HDHH-TCC-5,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTG0M3888NMT5CKYZC7,Sun Apr 19 2026 22:52:00 GMT+0700 (Indochina Time),Sun Apr 19 2026 22:52:00 GMT+0700 (Indochina Time),,42000,Ly,Combo,Spicy
prod_01KPFCJZTH04WB8265B7PF6JXN,sua-tuoi-cghl-it-duong-loc4,Sữa tươi CGHL ít đường,Cô Gái Hà Lan,published,,"Tên sản phẩm: Sữa tươi CGHL ít đường

Thương hiệu: Cô Gái Hà Lan (Dutch Lady)

Danh mục: Sữa tươi

Giới thiệu:

- Công thức chuẩn Hà Lan với hàm lượng đường giảm nhẹ.

- Bổ sung canxi, protein và các khoáng chất cần thiết.

- Hương vị thơm béo, dễ uống cho cả người lớn và trẻ em.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/sua-tuoi-cghl-it-duong-loc4.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSAVD07R2AWZB6GTESQWGPQ,180,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPFCK0SXCC35VYN3PWA2VKVX,Lốc,CGHL-STID,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTH04WB8265B7PF6JXN,Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),,44667,Lốc,1,Healthy
prod_01KPFCJZTH25D0962ZZC2TKJM1,sua-chua-uong-th-true-yogurt-viet-quat-loc,Sữa chua uống TH True Yogurt Việt Quất,TH True Milk,published,,"Tên sản phẩm: Sữa chua uống TH True Yogurt Việt Quất

Thương hiệu: TH True Milk

Danh mục: Sữa chua uống

Giới thiệu:

- Làm từ sữa tươi sạch nguyên chất của trang trại TH.

- Kết hợp nước ép việt quất tự nhiên, giàu vitamin.

- Hỗ trợ hệ tiêu hóa và tăng cường sức đề kháng.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/sua-chua-uong-th-true-yogurt-viet-quat-loc.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSAVD07R2AWZB6GTESQWGPQ,180,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPFCK0SW2BQ1Y1M38R6FZ12D,Lốc,TH-SCU-VQ,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTH25D0962ZZC2TKJM1,Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),,43333,Lốc,1,Healthy
prod_01KPFCJZTH4YVZ4QVF4D389DDE,pho-tron-de-nhat-bo,Phở Trộn Đệ Nhất Bò,Acecook,published,,"Tên sản phẩm: Phở Trộn Đệ Nhất Bò

Thương hiệu: Acecook

Danh mục: Phở ăn liền

Giới thiệu:

- Sợi phở mềm dai kết hợp cùng sốt trộn bò đậm đà.

- Mang đến hương vị phở truyền thống theo phong cách trộn hiện đại.

- Tiết kiệm thời gian chế biến mà vẫn đảm bảo dinh dưỡng.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/pho-tron-de-nhat-bo.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSBDZ9XRM34GKM7ZNS0Q660,84,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPFCK0SWWQ57YEK2XD0NA9ZA,Gói,ACE-PT-BO,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTH4YVZ4QVF4D389DDE,Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),,13200,Gói,1,Healthy
prod_01KPFCJZTH56PAKD8XTXY47EYY,sua-hat-vinamilk-9-loai-hat-it-duong,Sữa hạt Vinamilk 9 loại hạt ít đường,Vinamilk,published,,"Tên sản phẩm: Sữa hạt Vinamilk 9 loại hạt ít đường

Thương hiệu: Vinamilk

Danh mục: Sữa hạt

Giới thiệu:

- Sự kết hợp dinh dưỡng từ 9 loại hạt quý (óc chó, hạnh nhân...).

- Vị ngọt thanh từ hạt, ít đường, tốt cho tim mạch và vóc dáng.

- Sản phẩm phù hợp cho người ăn chay hoặc đang ăn kiêng.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/sua-hat-vinamilk-9-loai-hat-it-duong.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSAVD07R2AWZB6GTESQWGPQ,180,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPFCK0SX3Z9ZC3C96KSQFGGE,Hộp,VNM-SH9-1L,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTH56PAKD8XTXY47EYY,Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),,70667,Hộp,1,Healthy
prod_01KPFCJZTH5MNEYGF6PM8WB53F,chao-gau-do-thit-bam,Cháo Gấu Đỏ Thịt Băm,Gấu đỏ,published,,"Tên sản phẩm: Cháo Gấu Đỏ Thịt Băm

Thương hiệu: Gấu Đỏ

Danh mục: Cháo ăn liền

Giới thiệu:

- Hạt cháo dẻo thơm làm từ gạo nàng thơm chợ Đào.

- Gói thịt băm thật, gia vị đậm đà, bổ sung vitamin nhóm B.

- Phù hợp làm bữa sáng nhẹ nhàng hoặc bữa phụ cho gia đình.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/chao-gau-do-thit-bam.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSBDZ9XRM34GKM7ZNS0Q660,50,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPFCK0SW592Y2KZKC4F04B9D,Gói,GD-CHAO-TB,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTH5MNEYGF6PM8WB53F,Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),,5333,Gói,1,Spicy
prod_01KPFCJZTHAVKTPHRX59451NW8,sua-chua-uong-th-true-yogurt-huong-cam,Sữa chua uống TH True Yogurt hương Cam,TH True Milk,published,,"Tên sản phẩm: Sữa chua uống TH True Yogurt hương Cam

Thương hiệu: TH True Milk

Danh mục: Sữa chua uống

Giới thiệu:

- Vị cam chua ngọt sảng khoái, kích thích vị giác.

- Không sử dụng chất bảo quản, an toàn cho sức khỏe.

- Cung cấp năng lượng và dưỡng chất thiết yếu mỗi ngày.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/sua-chua-uong-th-true-yogurt-huong-cam.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSAVD07R2AWZB6GTESQWGPQ,110,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPFCK0SWQCYTX77MDRF1E9EP,Lốc,TH-SCU-CAM,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTHAVKTPHRX59451NW8,Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),,43333,Lốc,1,Healthy
prod_01KPFCJZTHMAYMJYZW82H46SRF,sua-tuoi-tiet-trung-dalatmilk-vi-tu-nhien,Sữa tươi tiệt trùng Dalatmilk vị tự nhiên,Dalatmilk,published,,"Tên sản phẩm: Sữa tươi tiệt trùng Dalatmilk vị tự nhiên

Thương hiệu: Dalatmilk

Danh mục: Sữa tươi

Giới thiệu:

- Nguồn sữa từ cao nguyên Đà Lạt tươi mát.

- Vị sữa thanh nhẹ, giữ trọn vẹn dưỡng chất tự nhiên.

- Quy trình tiệt trùng khép kín, đảm bảo vệ sinh an toàn.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/sua-tuoi-tiet-trung-dalatmilk-vi-tu-nhien.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSAVD07R2AWZB6GTESQWGPQ,180,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPFCK0SXSD7FH4PV291TGD8K,Hộp,DM-STTT-1L,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTHMAYMJYZW82H46SRF,Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),,48000,Hộp,1,Healthy
prod_01KPFCJZTHZDQAYXDQNWC2TTHA,ca-hop-ba-co-gai-nap-giut,Cá hộp Ba Cô Gái nắp giật,Ba Cô Gái,published,,"Tên sản phẩm: Cá hộp Ba Cô Gái nắp giật

Thương hiệu: Ba Cô Gái

Danh mục: Thực phẩm đóng hộp

Giới thiệu:

- Cá nục tươi ngon sốt cà chua đậm đặc.

- Thiết kế nắp giật thông minh, mở dễ dàng không cần dụng cụ.

- Thích hợp ăn kèm với cơm, bánh mì hoặc chế biến các món xào.",false,true,https://res.cloudinary.com/doj3fpuqb/image/upload/ca-hop-ba-co-gai-nap-giut.webp,pcol_01KNSPMGP6D1Y6TAVKPQ20BKBJ,ptyp_01KNSBDZ9XRM34GKM7ZNS0Q660,155,,,,,,,,Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:38 GMT+0700 (Indochina Time),,SaleSậpSàn,HàngMới,sc_01KMSB1VK25AT0Q21TMV1837JC,variant_01KPFCK0SWGH28CV5JPGG1NBEF,Hộp,BCG-CA-NG,,,,false,true,,,,,,,,,,0,,prod_01KPFCJZTHZDQAYXDQNWC2TTHA,Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),Sat Apr 18 2026 11:11:39 GMT+0700 (Indochina Time),,26000,Hộp,1,Spicy
